 -Infinity    -Infinity    -Infinity       -1.386    -Infinity    -Infinity    -Infinity   
 -Infinity    -Infinity       -5.991       -2.878       -5.586    -Infinity    -Infinity   
  -129.491     -132.505     -127.845     -129.559     -131.017     -128.731     -132.130   
  -133.892     -128.895     -131.493     -131.051     -133.151     -132.627     -129.935   
  -130.281     -133.390     -135.606     -132.542     -131.244     -134.355     -134.236   
  -134.594     -137.216     -131.303     -133.970     -135.951     -132.448     -136.253   
  -138.420     -132.913     -135.616     -135.462     -137.967     -137.155     -134.345   
  -134.116     -137.225     -139.374     -136.954     -136.060     -139.171     -139.052   
  -138.835     -140.578     -135.608     -137.805     -141.460     -137.670     -140.221   
  -141.782     -137.218     -139.856     -139.297     -141.936     -142.664     -139.567   
  -138.422     -141.466     -142.804     -140.789     -141.281     -143.140     -144.561   
  -142.852     -144.701     -140.136     -142.110     -144.988     -142.485     -144.749   
  -146.087     -141.186     -144.855     -143.602     -145.771     -146.598     -143.689   
  -142.390     -146.464     -147.109     -145.094     -145.404     -146.975     -148.495   
  -148.074     -148.313     -143.882     -146.079     -150.392     -147.014     -148.025   
  -149.699     -144.932     -150.076     -147.571     -149.046     -152.002     -148.218   
  -146.318     -151.126     -151.701     -149.062     -149.239     -150.656     -153.205   
  -152.512     -152.751     -148.320     -150.007     -152.974     -150.849     -151.860   
  -154.138     -149.370     -154.515     -151.498     -152.881     -154.584     -152.053   
  -150.757     -156.412     -155.852     -152.990     -153.362     -154.085     -156.193   
  -157.798     -156.902     -152.759     -154.445     -156.902     -154.971     -155.289   
  -158.288     -153.809     -159.338     -155.937     -156.311     -158.512     -156.175   
  -155.195     -160.388     -160.291     -157.429     -157.197     -157.921     -159.716   
  -161.592     -161.900     -156.217     -158.884     -161.430     -158.401     -159.818   
  -163.104     -157.826     -162.614     -160.376     -161.532     -162.634     -160.298   
  -159.213     -164.511     -164.819     -161.867     -161.607     -162.736     -164.244   
  -166.120     -166.023     -160.704     -162.901     -166.652     -163.217     -163.786   
  -167.409     -161.754     -167.794     -164.393     -164.808     -168.261     -164.421   
  -162.958     -169.404     -168.305     -165.885     -166.136     -166.012     -170.158   
  -171.013     -169.509     -164.450     -166.647     -171.183     -167.745     -167.062   
  -170.895     -166.347     -171.252     -168.138     -168.371     -172.387     -169.355   
  -167.733     -172.302     -172.898     -169.630     -170.376     -169.980     -173.591   
  -173.506     -174.507     -168.755     -171.122     -174.235     -171.580     -171.878   
